Match Id;Match Name;Match Stage;Match Type;Match Date - Weekday;Match Date - Month;Match Date - Day of the Month;Match Date - Year;Match Time;Match Score Type;Match Note;Team1;Score - Team1;Elo Rating - Team1;Team2;Score - Team2;Elo Rating - Team2;Betting line
10002;Champions Tour Korea Stage 1: Challengers 2;Open Qualifier;Quarterfinals;Tuesday;February;9;2021;4:30 PM IST;final;Bo3;TUBEPLE Gaming;0;[1604];TNL Esports;2;[1670];
48965;Nerd Street Gamers Winter Championship - Open 3;Group Stage;Round 2;Tuesday;November;2;2021;4:35 AM IST;final;Bo1;Radiance;0;[1553];Cosmic Divide;1;[1670];
16702;Champions Tour Philippines Stage 2: Challengers 2;Main Event;Semifinals;Saturday;April;17;2021;3:30 PM IST;final;Bo3;Alpha Esports Pro;0;[1531];Bren Esports;2;[1670];
45439;Nerd Street Gamers Winter Championship - Open 1;Playoffs;Round of 16;Tuesday;October;19;2021;6:45 AM IST;final;Bo3;Full Focus;0;[1517];Akrew;2;[1670];
2897;EPULZE Royal SEA Cup;Tournament;Group B;Tuesday;September;22;2020;1:50 PM IST;final;2 Maps;Resurgence;0;[1399];Vision Strikers;2;[1670];
35310;KJC eSports VALORANT Invitational;Playoffs;Lower Round 2;Saturday;October;9;2021;12:15 PM IST;final;Bo3;ONIC G;0;[1746];Kingsmen;2;[1669];
77874;BoomTV Proving Grounds $20k - Spring 2022;Main Event;Round of 16;Tuesday;March;15;2022;5:00 AM IST;final;Bo3;Complexity;0;[1712];SoaR;2;[1669];
18939;15 Kings Invitational;Tournament;Grand Final;Sunday;May;16;2021;10:00 PM IST;final;Bo3;DeftFox;0;[1545];SAW;3;[1669];
11620;Champions Tour Europe Stage 1: Challengers 3;Qualifier Playoffs;Round of 32;Wednesday;March;3;2021;10:30 PM IST;final;Bo3;Winfinity;0;[1514];Finest;2;[1669];
14295;Champions Tour Malaysia & Singapore Stage 2: Challengers 1;Main Event;Lower Bracket Final;Sunday;April;4;2021;7:30 AM IST;final;Bo3;Team 600;0;[1500];Paper Rex;2;[1669];
29670;Champions Tour Japan Stage 3: Challengers Playoffs;Main Event;Upper Final;Saturday;August;14;2021;1:50 PM IST;final;Bo3;NORTHEPTION;0;[1769];Crazy Raccoon;2;[1668];
3062;EVOlution Open - Brazil;Tournament;Round 7;Saturday;September;26;2020;9:30 PM IST;final;Bo1;Gamelanders Blue;0;[1701];VIMDOLOL;1;[1668];
7656;No Tilt Cup: Latin America North;Playoffs;Grand Final;Saturday;December;19;2020;4:30 AM IST;final;Bo5;LDM Esports;0;[1651];Infinity Esports;3;[1668];
28212;Champions Tour Europe Stage 3: Challengers 2;Closed Qualifier;Lower Round 2;Saturday;July;24;2021;12:50 AM IST;final;Bo3;Team Queso;0;[1597];BIG;2;[1668];
10348;Champions Tour Brazil Stage 1: Challengers 2;Main Event;Decider (B);Monday;February;22;2021;5:30 AM IST;final;Bo3;SLICK;0;[1554];Team Vikings;2;[1668];
109812;Knights Circuit Championship;Group Stage;Elimination (C);Tuesday;June;28;2022;4:30 AM IST;final;Bo3;Stasis;0;[1518];Teal Seam;2;[1668];
