"";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct";"Agent";"Rounds played";"Average Combat Score";"KAST pct";"Average damage per round";"HS pct";"Kills";"Deaths";"Assists";"First Kills";"First Deaths";"Clutches Won";"Clutch Situations";"Assists per Kill";"First Kills per Kill";"Clutch Situations per Round";"Clutch Success pct"
"Nayla";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";64;194;0,7;127,5;0,15;41;49;23;7;7;"2";"9";"0.170731707317073";"0.560975609756098";"0.140625";"0.222222222222222";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;"0";0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";58;263,3;0,86;168,6;0,13;52;39;31;8;4;"2";"6";"0.153846153846154";"0.596153846153846";"0.103448275862069";"0.333333333333333";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";72;154,8;0,64;112,6;0,13;39;59;23;4;8;"0";"9";"0.102564102564103";"0.58974358974359";"0.125";"0";"Sova";33;139;0,58;112,3;0,12;10;29;14;2;4;"0";"4";"0.2";"1.4";"0.121212121212121";"0";"Viper";75;199,3;0,75;136,7;0,15;58;61;21;9;10;"0";"12";"0.155172413793103";"0.362068965517241";"0.16";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Nessa";"Astra";408;167,7;0,7;111,9;0,19;251;285;125;20;32;"11";"65";"0.0796812749003984";"0.49800796812749";"0.159313725490196";"0.169230769230769";"Breach";64;180,7;0,81;126,9;0,24;45;40;23;4;4;"1";"8";"0.0888888888888889";"0.511111111111111";"0.125";"0.125";"Brimstone";18;196;0,67;122,3;0,15;11;15;3;2;2;"0";"4";"0.181818181818182";"0.272727272727273";"0.222222222222222";"0";"Chamber";87;221;0,66;142,5;0,2;69;67;16;13;11;"1";"14";"0.188405797101449";"0.231884057971014";"0.160919540229885";"0.0714285714285714";"Cypher";55;125;0,56;"89.4";0,13;24;44;9;2;3;"0";"9";"0.0833333333333333";"0.375";"0.163636363636364";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";20;211;0,6;152,5;0,19;15;19;3;4;3;"1";"4";"0.266666666666667";"0.2";"0.2";"0.25";"Kay/O";356;210,1;0,73;130,8;0,2;260;252;149;28;33;"6";"40";"0.107692307692308";"0.573076923076923";"0.112359550561798";"0.15";"Killjoy";117;160,7;0,62;113;0,17;63;77;16;6;7;"2";"19";"0.0952380952380952";"0.253968253968254";"0.162393162393162";"0.105263157894737";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";19;166;0,68;112,6;0,23;11;14;5;1;4;"1";"2";"0.0909090909090909";"0.454545454545455";"0.105263157894737";"0.5";"Reyna";252;226,3;0,68;146,2;0,24;196;181;51;34;28;"3";"33";"0.173469387755102";"0.260204081632653";"0.130952380952381";"0.0909090909090909";"Sage";26;275;0,81;167,7;0,2;25;16;13;1;1;"0";"5";"0.04";"0.52";"0.192307692307692";"0";"Skye";82;185,8;0,67;125,2;0,19;54;62;28;9;13;"2";"8";"0.166666666666667";"0.518518518518518";"0.0975609756097561";"0.25";"Sova";54;180,5;0,74;120,7;0,27;35;35;13;5;0;"0";"7";"0.142857142857143";"0.371428571428571";"0.12962962962963";"0";"Viper";72;172;0,65;117,2;0,16;42;52;16;9;11;"0";"7";"0.214285714285714";"0.380952380952381";"0.0972222222222222";"0";"Yoru";93;211,6;0,69;127;0,23;63;62;18;14;12;"1";"8";"0.222222222222222";"0.285714285714286";"0.0860215053763441";"0.125"
"Niagarapopoo";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";63;147,7;0,68;92;0,16;32;47;17;2;3;"0";"8";"0.0625";"0.53125";"0.126984126984127";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;"0";0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";70;149,3;0,69;91,4;0,14;36;50;27;4;5;"1";"4";"0.111111111111111";"0.75";"0.0571428571428571";"0.25";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Nidxvilco";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";125;271,6;0,74;173,5;0,25;120;94;21;22;17;"4";"20";"0.183333333333333";"0.175";"0.16";"0.2";"Cypher";0;0;0;"0";0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";13;213;0,46;119,8;0,47;10;14;0;1;1;"0";"6";"0.1";"0";"0.461538461538462";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Nienores";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";131;237;0,65;160,7;0,29;110;98;26;12;12;"5";"32";"0.109090909090909";"0.236363636363636";"0.244274809160305";"0.15625";"Cypher";40;219;0,75;"145";0,23;32;26;11;2;1;"2";"10";"0.0625";"0.34375";"0.25";"0.2";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";46;173,5;0,61;124,7;0,14;25;34;11;0;3;"1";"10";"0";"0.44";"0.217391304347826";"0.1";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Ninski";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";102;210,8;0,62;144;0,21;78;86;13;25;21;"2";"11";"0.320512820512821";"0.166666666666667";"0.107843137254902";"0.181818181818182";"Cypher";0;0;0;"0";0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";85;208,5;0,68;137,4;0,21;61;60;30;4;11;"4";"9";"0.0655737704918033";"0.491803278688525";"0.105882352941176";"0.444444444444444";"Jett";18;360;0,83;209,1;0,24;25;10;2;6;2;"1";"1";"0.24";"0.08";"0.0555555555555556";"1";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";21;207;0,67;128,8;0,13;13;19;4;4;4;"0";"0";"0.307692307692308";"0.307692307692308";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";23;218;0,83;134,2;0,25;19;15;9;2;0;"0";"3";"0.105263157894737";"0.473684210526316";"0.130434782608696";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Noemie";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";54;180,3;0,72;104,8;0,16;33;42;25;3;4;"2";"5";"0.0909090909090909";"0.757575757575758";"0.0925925925925926";"0.4";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;"0";0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";48;145,5;0,63;106,4;0,18;18;36;20;1;4;"0";"3";"0.0555555555555556";"1.11111111111111";"0.0625";"0";"Killjoy";50;162;0,58;89,4;0,23;26;48;8;5;6;"0";"11";"0.192307692307692";"0.307692307692308";"0.22";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";36;132;0,5;74,4;0,18;15;33;7;3;7;"0";"4";"0.2";"0.466666666666667";"0.111111111111111";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";38;160;0,68;109,2;0,15;20;34;16;2;6;"0";"1";"0.1";"0.8";"0.0263157894736842";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"nugget";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";73;190;0,73;117,2;0,2;50;50;20;5;2;"2";"12";"0.1";"0.4";"0.164383561643836";"0.166666666666667";"Chamber";897;211,2;0,71;135,6;0,21;661;622;164;120;71;"13";"97";"0.181543116490166";"0.248108925869894";"0.108138238573021";"0.134020618556701";"Cypher";56;232;0,68;"146.3";0,14;47;46;9;4;4;"3";"9";"0.0851063829787234";"0.191489361702128";"0.160714285714286";"0.333333333333333";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";53;273;0,74;164,8;0,15;52;42;12;5;2;"1";"8";"0.0961538461538462";"0.230769230769231";"0.150943396226415";"0.125";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Ocean";"Astra";18;145;0,89;116,7;0,2;8;13;6;0;1;"0";"0";"0";"0.75";"0";"0";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";79;174,5;0,59;113,6;0,3;51;62;5;11;12;"2";"16";"0.215686274509804";"0.0980392156862745";"0.20253164556962";"0.125";"Cypher";0;0;0;"0";0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";15;249;0,67;143,2;0,32;15;13;0;4;0;"0";"2";"0.266666666666667";"0";"0.133333333333333";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";36;115,5;0,56;70,1;0,15;13;33;9;0;1;"0";"6";"0";"0.692307692307692";"0.166666666666667";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";191;177,7;0,59;119,8;0,22;119;163;45;18;17;"1";"16";"0.151260504201681";"0.378151260504202";"0.0837696335078534";"0.0625";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Viper";229;199,6;0,68;133,5;0,21;164;184;56;24;28;"2";"19";"0.146341463414634";"0.341463414634146";"0.0829694323144105";"0.105263157894737";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"Okeanos";"Astra";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Breach";26;145;0,58;87,5;0,4;14;20;8;1;6;"0";"1";"0.0714285714285714";"0.571428571428571";"0.0384615384615385";"0";"Brimstone";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Chamber";1913;245,1;0,68;155,1;0,33;1706;1408;237;358;265;"20";"162";"0.209847596717468";"0.138921453692849";"0.0846837428123366";"0.123456790123457";"Cypher";14;83;0,86;"47.8";0,17;4;6;2;1;0;"0";"1";"0.25";"0.5";"0.0714285714285714";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";2429;240,4;0,67;148;0,25;2052;1860;378;488;414;"16";"152";"0.237816764132554";"0.184210526315789";"0.0625771922601894";"0.105263157894737";"Kay/O";115;203,5;0,75;130,4;0,25;79;79;62;7;10;"3";"7";"0.0886075949367089";"0.784810126582278";"0.0608695652173913";"0.428571428571429";"Killjoy";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";23;202;0,61;122,6;0,3;14;21;5;3;2;"0";"1";"0.214285714285714";"0.357142857142857";"0.0434782608695652";"0";"Raze";541;247,5;0,68;163,2;0,23;432;431;130;106;86;"3";"40";"0.24537037037037";"0.300925925925926";"0.0739371534195934";"0.075";"Reyna";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sage";54;153;0,46;93;0,23;29;48;10;4;12;"2";"10";"0.137931034482759";"0.344827586206897";"0.185185185185185";"0.2";"Skye";54;267;0,74;165,2;0,35;53;37;6;6;6;"0";"2";"0.113207547169811";"0.113207547169811";"0.037037037037037";"0";"Sova";19;137;0,74;85,7;0,43;9;15;6;0;1;"0";"3";"0";"0.666666666666667";"0.157894736842105";"0";"Viper";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
"OlczaOlcia";"Astra";22;211;0,77;132,7;0,21;17;15;5;3;3;"1";"3";"0.176470588235294";"0.294117647058824";"0.136363636363636";"0.333333333333333";"Breach";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Brimstone";53;219;0,7;137,9;0,24;38;44;15;7;6;"0";"11";"0.184210526315789";"0.394736842105263";"0.207547169811321";"0";"Chamber";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Cypher";0;0;0;"0";0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Fade";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Jett";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Kay/O";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Killjoy";41;227;0,66;138,5;0,19;31;31;5;6;4;"1";"3";"0.193548387096774";"0.161290322580645";"0.0731707317073171";"0.333333333333333";"Neon";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Omen";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Phoenix";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Raze";159;171,8;0,6;120;0,16;87;131;29;16;26;"0";"12";"0.183908045977011";"0.333333333333333";"0.0754716981132075";"0";"Reyna";96;230,8;0,68;153,5;0,19;78;74;22;9;13;"1";"10";"0.115384615384615";"0.282051282051282";"0.104166666666667";"0.1";"Sage";26;238;0,73;154,2;0,22;23;15;18;5;3;"3";"5";"0.217391304347826";"0.782608695652174";"0.192307692307692";"0.6";"Skye";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0";"Sova";78;145,3;0,56;104,4;0,27;40;62;23;7;11;"1";"13";"0.175";"0.575";"0.166666666666667";"0.0769230769230769";"Viper";53;299;0,72;182,3;0,36;54;47;11;7;10;"2";"8";"0.12962962962963";"0.203703703703704";"0.150943396226415";"0.25";"Yoru";0;0;0;0;0;0;0;0;0;0;"0";"0";"0";"0";"0";"0"
