"";"Match Id";"Match day of the week";"Match day of the month";"Match month";"Match year";"Match Name";"Match Stage";"Match Type";"Match Time";"Match Score Type";"Match Note";"Team1";"Score";"Elo Number";"Team2";"Score.1";"Elo Number.1";"Betting line"
"10789";5379;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 64";"9:30 PM IST";"final";"Bo1";"BIG";"1";1466;"GodLAN";"0";1466;NA
"10790";5380;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 64";"9:30 PM IST";"final";"Bo1";"Finest";"1";1564;"Nice Cars";"0";1564;NA
"10791";5381;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 64";"9:30 PM IST";"final";"Bo1";"Entropiq Bravo";"1";1501;"AYB Esports";"0";1501;NA
"10792";5382;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 64";"9:30 PM IST";"final";"Bo1";"need more DM";"1";1583;"UCAM Tokiers";"0";1583;NA
"10793";5385;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 64";"9:30 PM IST";"final";"Bo1";"NCBz Esport";"0";1501;"No Teeth";"1";1501;NA
"10794";5386;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 64";"9:30 PM IST";"final";"Bo1";"Rix.GG";"1";1527;"SPARX ESPORTS";"0";1527;NA
"10795";5388;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 64";"9:30 PM IST";"final";"Bo1";"Cool Guys";"1";1518;"mens))";"0";1518;NA
"10796";5390;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"Guild Esports";"1";1656;"N0thing To L0se";"0";1656;NA
"10797";5391;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"Souldazz";"0";1518;"eSuba";"1";1518;NA
"10798";5392;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"Team Toxic";"0";1512;"Wizards Club";"1";1512;NA
"10799";5393;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"L'institut";"1";1548;"Constant rise";"0";1548;NA
"10800";5394;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"HSDIRR";"1";1634;"ex-Ravens Esports Club";"0";1634;NA
"10801";5395;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"M4LIK";"1";1515;"B7 Warriors";"0";1515;NA
"10802";5396;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"Arctic";"0";1499;"Kamil Klein new chapter";"1";1499;NA
"10803";5397;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"Lunaris";"1";1556;"hREDS";"0";1556;NA
"10804";5398;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:50 PM IST";"final";"Bo1";"SKADE";"1";1505;"-sheesh-";"0";1505;NA
"10805";5399;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"Valorando";"1";1549;"Chakalaka";"0";1549;NA
"10807";5400;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"unsigned";"0";1583;"BIG";"1";1583;NA
"10808";5401;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"Finest";"1";1574;"Entropiq Bravo";"0";1574;NA
"10809";5402;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"need more DM";"1";1593;"BLOKES";"0";1593;NA
"10810";5403;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"STR99";"1";1539;"No Teeth";"0";1539;NA
"10811";5404;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"Rix.GG";"1";1537;"Wygers";"0";1537;NA
"10812";5405;"Thursday";12;"11";2020;"First Strike: Europe";"Qualifier B";"Round of 32";"10:40 PM IST";"final";"Bo1";"Cool Guys";"0";1518;"VASTA Gaming";"1";1518;NA
"10813";5406;"Wednesday";11;"11";2020;"First Strike: MENA";"North Africa Qualifiers";"Upper Final";"11:30 PM IST";"final";"Bo3";"Fox Gaming";"2";1567;"Team Majesty";"1";1567;NA
"10815";5412;"Sunday";22;"11";2020;"First Strike: MENA";"North Africa Qualifiers";"Lower Final";"11:30 PM IST";"final";"Bo3";"Team Majesty";"2";1517;"Alterfox Esports";"0";1517;NA
"10816";5413;"Monday";23;"11";2020;"First Strike: MENA";"North Africa Qualifiers";"Grand Final";"9:30 PM IST";"final";"Bo5";"Fox Gaming";"3";1567;"Team Majesty";"2";1567;NA
"10817";5414;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Gen.G";"2";1636;"KDA";"0";1636;NA
"10818";5416;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"3:40 AM IST";"final";"Bo3";"FaZe Clan";"2";1546;"pick me up";"0";1546;NA
"10819";5417;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"beastcoast";"2";1520;"Proven";"0";1520;NA
"10820";5418;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Mamba Mode Gaming";"2";1590;"Excel";"0";1590;NA
"10822";5420;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Moon Raccoons";"2";1621;"Caffeine Fiends";"1";1621;NA
"10823";5421;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"3:30 AM IST";"final";"Bo3";"Time In";"2";1436;"Shadow Life";"0";1436;NA
"10824";5422;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Luminosity";"2";1553;"Hollywood Hooliganz";"0";1553;NA
"10825";5424;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Spacestation Gaming";"2";1449;"Depth";"0";1449;NA
"10826";5425;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Elevate";"2";1416;"Sedated";"0";1416;NA
"10827";5426;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Equinox Esports";"2";1579;"LividOnes";"1";1579;NA
"10828";5428;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:15 AM IST";"final";"Bo3";"Slimy Boogermen";"2";1497;"Onslaught Gaming";"0";1497;NA
"10830";5430;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"3:00 AM IST";"final";"Bo3";"Dignitas";"2";1604;"Illinois Servers Please";"0";1604;NA
"10831";5434;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Immortals";"2";1576;"Exodus";"0";1576;NA
"10832";5436;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Spot Up";"2";1471;"Epherium";"0";1471;NA
"10833";5438;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"XSET";"2";1582;"Last Round Save";"0";1582;NA
"10835";5442;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Andbox";"2";1632;"FUNSNATCHERS";"0";1632;NA
"10836";5444;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 64";"4:00 AM IST";"final";"Bo3";"Built By Gamers";"2";1420;"Old Dudes";"0";1420;NA
"10837";5446;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"Gen.G";"2";1638;"Team Front";"0";1638;NA
"10838";5447;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"FaZe Clan";"2";1548;"beastcoast";"0";1548;NA
"10839";5448;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"Mamba Mode Gaming";"2";1592;"Archons";"0";1592;NA
"10840";5449;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"7:30 AM IST";"final";"Bo3";"Moon Raccoons";"2";1622;"Time In";"0";1622;NA
"10842";5450;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"Luminosity";"2";1565;"Tenacity Pro";"0";1565;NA
"10843";5451;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"Spacestation Gaming";"2";1452;"Elevate";"0";1452;NA
"10844";5452;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:45 AM IST";"final";"Bo3";"Equinox Esports";"2";1580;"Take Flyte";"0";1580;NA
"10845";5453;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"Slimy Boogermen";"1";1500;"SOR";"2";1500;NA
"10846";5454;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"Dignitas";"2";1616;"Prospects";"0";1616;NA
"10847";5455;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"Serenity";"2";1547;"Shiba";"1";1547;NA
"10848";5456;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"5:30 AM IST";"final";"Bo3";"Immortals";"2";1578;"Orgles5";"0";1578;NA
"10849";5457;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"Spot Up";"2";1474;"DimmaDome$";"1";1474;NA
"10850";5458;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"XSET";"0";1594;"Flow State";"2";1594;NA
"10851";5459;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"DREAMLAND";"0";1511;"Knights";"2";1511;NA
"10853";5460;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"5:40 AM IST";"final";"Bo3";"Andbox";"2";1644;"NRG Esports";"1";1644;NA
"10854";5461;"Thursday";12;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 32";"6:30 AM IST";"final";"Bo3";"Built By Gamers";"2";1424;"Phoenix1";"0";1424;NA
"10855";5462;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 16";"1:30 AM IST";"final";"Bo3";"Gen.G";"1";1640;"FaZe Clan";"2";1640;NA
"10856";5463;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 16";"1:30 AM IST";"final";"Bo3";"Mamba Mode Gaming";"1";1605;"Moon Raccoons";"2";1605;NA
"10857";5464;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 16";"1:30 AM IST";"final";"Bo3";"Luminosity";"1";1579;"Spacestation Gaming";"2";1579;NA
"10858";5465;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 16";"1:30 AM IST";"final";"Bo3";"Equinox Esports";"2";1598;"SOR";"0";1598;NA
"10859";5466;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 16";"1:45 AM IST";"final";"Bo3";"Dignitas";"2";1630;"Serenity";"0";1630;NA
"10860";5467;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 16";"1:30 AM IST";"final";"Bo3";"Immortals";"2";1594;"Spot Up";"1";1594;NA
"10861";5468;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 16";"1:30 AM IST";"final";"Bo3";"Flow State";"0";1510;"Knights";"2";1510;NA
"10862";5469;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Round of 16";"1:30 AM IST";"final";"Bo3";"Andbox";"2";1655;"Built By Gamers";"0";1655;NA
"10864";5470;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Quarterfinals";"4:45 AM IST";"final";"Bo3";"FaZe Clan";"0";1587;"Moon Raccoons";"2";1587;NA
"10865";5471;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Quarterfinals";"4:30 AM IST";"final";"Bo3";"Spacestation Gaming";"1";1493;"Equinox Esports";"2";1493;NA
"10866";5472;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Quarterfinals";"4:30 AM IST";"final";"Bo3";"Dignitas";"1";1646;"Immortals";"2";1646;NA
"10867";5473;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Quarterfinals";"4:30 AM IST";"final";"Bo3";"Knights";"0";1572;"Andbox";"2";1572;NA
"10868";5474;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Consolation Semifinals";"7:30 AM IST";"final";"Bo3";"FaZe Clan";"1";1570;"Spacestation Gaming";"2";1570;NA
"10869";5475;"Friday";13;"11";2020;"First Strike: North America";"UMG Open Qualifier #1";"Consolation Semifinals";"7:30 AM IST";"final";"Bo3";"Dignitas";"2";1628;"Knights";"0";1628;NA
"10871";5480;"Saturday";14;"11";2020;"First Strike: Turkey";"Qualifier #3";"Upper Semifinals";"4:30 PM IST";"final";"Bo3";"Galakticos";"0";1512;"Mod-Z";"2";1512;NA
"10872";5481;"Saturday";14;"11";2020;"First Strike: Turkey";"Qualifier #3";"Upper Semifinals";"6:45 PM IST";"final";"Bo3";"Anatolia Esports";"2";1506;"Istanbul Wildcats";"1";1506;NA
"10873";5482;"Sunday";15;"11";2020;"First Strike: Turkey";"Qualifier #3";"Upper Final";"4:30 PM IST";"final";"Bo3";"Mod-Z";"2";1546;"Anatolia Esports";"1";1546;NA
"10874";5483;"Sunday";15;"11";2020;"First Strike: Turkey";"Qualifier #3";"Lower Final";"7:30 PM IST";"final";"Bo3";"Anatolia Esports";"2";NA;"5NOOBS";"1";NA;NA
"10875";5488;"Sunday";15;"11";2020;"First Strike: Turkey";"Qualifier #3";"Lower Round 3";"3:30 PM IST";"final";"Bo3";"Digital Athletics";"0";NA;"5NOOBS";"2";NA;NA
"10877";5492;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"10:30 AM IST";"final";"Bo1";"EXO Clan";"1";1667;"Gravitas";"0";1667;NA
"10878";5493;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"Wildcard Gaming";"1";1530;"Shadownet";"0";1530;NA
"10879";5494;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"Overt";"1";1515;"Fighting 4 Freedom";"0";1515;NA
"10880";5495;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"ORDER";"1";1636;"Genuine Gaming";"0";1636;NA
"10881";5496;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"Mindfreak";"1";1520;"Momentum Based";"0";1520;NA
"10882";5497;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"Dire Wolves";"1";1518;"SLO";"0";1518;NA
"10883";5498;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"forfeited by Spectral Gaming";"Bo1";"Nebula";"0";NA;"Spectral Gaming";"0";NA;NA
"10884";5499;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"Waterbottle";"1";1551;"Avant";"0";1551;NA
"10887";5500;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"McTeam";"0";1502;"R!OT Gaming";"1";1502;NA
"10888";5501;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"forfeited by Team Agera";"Bo1";"Funcrew";"0";NA;"Team Agera";"0";NA;NA
"10889";5502;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"Kanga Esports";"1";1471;"1HP";"0";1471;NA
"10890";5503;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"Legacy Esports";"0";1496;"Wheels";"1";1496;NA
"10891";5504;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"ex-Team Bliss";"0";1515;"Pillow";"1";1515;NA
"10892";5505;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"11:30 AM IST";"final";"Bo1";"Control (Air Raiders)";"1";1491;"Elemental Esports";"0";1491;NA
"10893";5506;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"12:30 PM IST";"final";"Bo1";"Pants Down";"0";1437;"RipNTear";"1";1437;NA
"10894";5507;"Saturday";14;"11";2020;"First Strike: Oceania";"Rise of Valour: Swiss Stage";"Round 1";"12:30 PM IST";"final";"Bo1";"Paradox Esports";"0";1452;"95x Esports";"1";1452;NA
"10895";5508;"Thursday";12;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 24";"1:30 PM IST";"final";"Bo3";"Challenge";"0";1478;"Feel So Good";"2";1478;NA
"10896";5509;"Thursday";12;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 24";"4:30 PM IST";"final";"Bo3";"ever.wc";"1";1519;"F4Q";"2";1519;NA
"10898";5510;"Friday";13;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 24";"1:30 PM IST";"final";"Bo3";"Lunatic-Hai";"2";1501;"SUMMIT's 탁아소";"0";1501;NA
"10899";5511;"Friday";13;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 24";"3:05 PM IST";"final";"Bo3";"PK";"0";NA;"Crazy Hamster";"2";NA;NA
"10900";5512;"Saturday";14;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 24";"1:30 PM IST";"final";"Bo3";"Fast Rush";"2";1496;"Fiat Lux";"0";1496;NA
"10901";5513;"Saturday";14;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 24";"3:30 PM IST";"final";"Bo3";"THE START W";"2";1503;"team flavor";"0";1503;NA
"10902";5514;"Sunday";15;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 24";"1:30 PM IST";"final";"Bo3";"BE INFAMOUS";"2";1511;"TUBEPLE Gaming";"1";1511;NA
"10903";5515;"Sunday";15;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 24";"4:15 PM IST";"final";"Bo3";"Rover";"2";1490;"BearClaw Gaming";"0";1490;NA
"10904";5516;"Thursday";19;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 16";"1:30 PM IST";"final";"Bo3";"Vision Strikers";"2";1925;"Feel So Good";"0";1925;NA
"10905";5517;"Thursday";19;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 16";"3:30 PM IST";"final";"Bo3";"CoreNine Esports";"0";1510;"F4Q";"2";1510;NA
"10906";5518;"Friday";20;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 16";"1:30 PM IST";"final";"Bo3";"Cloud9 Korea";"2";1600;"Lunatic-Hai";"1";1600;NA
"10907";5519;"Friday";20;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 16";"4:15 PM IST";"final";"Bo3";"SeolHaeOne Prince";"0";1498;"Crazy Hamster";"2";1498;NA
"10909";5520;"Saturday";21;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 16";"1:30 PM IST";"final";"Bo3";"Quantum Strikers";"2";1592;"Fast Rush";"0";1592;NA
"10910";5521;"Saturday";21;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 16";"3:15 PM IST";"final";"Bo3";"PROPARTY";"2";1530;"THE START W";"1";1530;NA
"10911";5522;"Sunday";22;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 16";"1:30 PM IST";"final";"Bo3";"aNg DarkHorse";"2";1587;"BE INFAMOUS";"1";1587;NA
"10912";5523;"Sunday";22;"11";2020;"First Strike: Korea";"Closed Qualifier";"Round of 16";"4:10 PM IST";"final";"Bo3";"T1 Korea";"2";1572;"Rover";"0";1572;NA
"10913";5524;"Friday";13;"11";2020;"Ralovant Showmatches";"#1";"Showmatch";"12:30 AM IST";"final";"Bo3";"FUT Esports";"2";NA;"NerdTown eSport";"0";NA;NA
"10915";5534;"Monday";23;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Upper Quarterfinals";"5:30 PM IST";"final";"Bo3";"Attack All Around";"2";1642;"FULL SENSE";"0";1642;NA
"10916";5535;"Monday";23;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Upper Quarterfinals";"5:30 PM IST";"final";"Bo3";"QConfirm";"1";1538;"Overtime Esports";"2";1538;NA
"10918";5536;"Monday";23;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Upper Quarterfinals";"8:30 PM IST";"final";"Bo3";"Sharper Esport";"2";1493;"Daytrade Gaming";"0";1493;NA
"10919";5537;"Monday";23;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Upper Quarterfinals";"7:15 PM IST";"final";"Bo3";"NG.Black";"2";1545;"MiTH.Attitude";"0";1545;NA
"10920";5538;"Tuesday";24;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Upper Semifinals";"5:30 PM IST";"final";"Bo3";"Attack All Around";"1";1632;"Overtime Esports";"2";1632;NA
"10921";5539;"Tuesday";24;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Upper Semifinals";"5:30 PM IST";"final";"Bo3";"Sharper Esport";"0";1513;"NG.Black";"2";1513;NA
"10923";5540;"Monday";30;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Upper Final";"7:45 PM IST";"final";"Bo3";"Overtime Esports";"2";1540;"NG.Black";"0";1540;NA
"10924";5541;"Tuesday";24;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Lower Round 1";"8:30 PM IST";"final";"Bo3";"FULL SENSE";"0";1467;"QConfirm";"2";1467;NA
"10925";5542;"Tuesday";24;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Lower Round 1";"8:30 PM IST";"final";"Bo3";"Daytrade Gaming";"0";1455;"MiTH.Attitude";"2";1455;NA
"10926";5543;"Monday";30;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Lower Round 2";"5:30 PM IST";"final";"Bo3";"Sharper Esport";"2";1467;"QConfirm";"0";1467;NA
"10927";5544;"Monday";30;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Lower Round 2";"5:30 PM IST";"final";"Bo3";"Attack All Around";"0";1636;"MiTH.Attitude";"2";1636;NA
"10928";5545;"Monday";30;"11";2020;"ESL Thailand Championship 2020";"Main Event";"Lower Round 3";"7:45 PM IST";"final";"Bo3";"Sharper Esport";"0";1492;"MiTH.Attitude";"2";1492;NA
"10929";5546;"Tuesday";1;"12";2020;"ESL Thailand Championship 2020";"Main Event";"Lower Final";"5:30 PM IST";"final";"Bo3";"NG.Black";"1";1554;"MiTH.Attitude";"2";1554;NA
"10930";5547;"Sunday";6;"12";2020;"ESL Thailand Championship 2020";"Main Event";"Grand Final";"3:45 PM IST";"final";"Bo5";"Overtime Esports";"0";1563;"MiTH.Attitude";"3";1563;NA
"10944";5561;"Friday";13;"11";2020;"First Strike: CIS";"A Playoffs";"Round of 32";"8:30 PM IST";"final";"Bo3";"Axsor";"2";1485;"Team Empire";"0";1485;NA
"10945";5563;"Friday";13;"11";2020;"First Strike: CIS";"A Playoffs";"Round of 32";"8:30 PM IST";"final";"Bo3";"Dirty boys";"0";1513;"Gambit Esports";"2";1513;NA
"10946";5568;"Friday";13;"11";2020;"First Strike: CIS";"A Playoffs";"Round of 32";"8:30 PM IST";"final";"Bo3";"forZe";"2";1609;"4fan";"0";1609;NA
"10947";5569;"Friday";13;"11";2020;"First Strike: CIS";"A Playoffs";"Round of 32";"8:30 PM IST";"final";"Bo3";"aspyxia";"1";1527;"Sekai";"2";1527;NA
"10949";5572;"Friday";13;"11";2020;"First Strike: CIS";"A Playoffs";"Round of 32";"8:30 PM IST";"final";"Bo3";"ROX TEAM";"2";1503;"Vengeance";"0";1503;NA
"10950";5575;"Friday";13;"11";2021;"First Strike: CIS";"A Playoffs";"Round of 32";"8:30 PM IST";"final";"Bo3";"BeeNinjas";"0";1493;"Team Singularity";"2";1493;NA
"10951";5576;"Saturday";14;"11";2021;"First Strike: CIS";"A Playoffs";"Round of 16";"8:30 PM IST";"final";"Bo3";"PLATOON";"0";1537;"Axsor";"2";1537;NA
"10952";5577;"Saturday";14;"11";2021;"First Strike: CIS";"A Playoffs";"Round of 16";"8:30 PM IST";"final";"Bo3";"123";"0";1520;"Gambit Esports";"2";1520;NA
"10953";5578;"Saturday";14;"11";2021;"First Strike: CIS";"A Playoffs";"Round of 16";"8:30 PM IST";"final";"Bo3";"flawless";"0";1504;"AoeXe";"2";1504;NA
"10954";5579;"Saturday";14;"11";2021;"First Strike: CIS";"A Playoffs";"Round of 16";"8:30 PM IST";"final";"Bo3";"kek123";"0";1545;"Lankräm";"2";1545;NA
"10957";5580;"Saturday";14;"11";2021;"First Strike: CIS";"A Playoffs";"Round of 16";"8:30 PM IST";"final";"Bo3";"forZe";"2";1696,2;"Sekai";"0";1696,2;NA
"10958";5581;"Saturday";14;"11";2021;"First Strike: CIS";"A Playoffs";"Round of 16";"8:30 PM IST";"final";"Bo3";"zTitans";"0";1543;"THEX";"2";1543;NA
"10959";5582;"Saturday";14;"11";2021;"First Strike: CIS";"A Playoffs";"Round of 16";"8:30 PM IST";"final";"Bo3";"ROX TEAM";"2";1524;"5MOKES";"1";1524;NA
"10960";5583;"Saturday";14;"11";2021;"First Strike: CIS";"A Playoffs";"Round of 16";"8:30 PM IST";"final";"Bo3";"Kommuna";"0";NA;"Team Singularity";"2";NA;NA
